Product name;Category;Price;Items in box;Features;Quantity;Taxes;Date added;Status;Language;Product code;Weight;Min quantity;List price;Shipping freight;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Feature comparison;Zero price action;Thumbnail;Detailed image;Description;Meta keywords;Meta description;Search words;Page title;Options;Secondary categories;SEO name;Short description;Localizations;Max quantity;Quantity step;List qty count;Out of stock actions;Product URL;Image URL;Detailed image URL;Box size;Store
"Вата хирургическая н/с кипная 50 (за кг)";"Медицинские расходные материалы///Вата";"132.48";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba67";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-n-s-kipnaya-50-za-kg";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-n-s-kipnaya-50-za-kg.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая стерильная 25,0г";"Медицинские расходные материалы///Вата";"6.61";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba68";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-sterilnaya-25-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-sterilnaya-25-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая стерильная 50,0г";"Медицинские расходные материалы///Вата";"8.51";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba69";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-sterilnaya-50-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-sterilnaya-50-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая стерильная  100,0г";"Медицинские расходные материалы///Вата";"17.88";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba70";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-sterilnaya-100-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-sterilnaya-100-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата хирургическая стерильная 250,0г";"Медицинские расходные материалы///Вата";"41.06";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba71";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-hirurgicheskaya-sterilnaya-250-0g";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-hirurgicheskaya-sterilnaya-250-0g.html";"";"";"length:0;width:0;height:0";"Simtech"
"Ватные шарики белые стерильные (100 шт.)";"Медицинские расходные материалы///Вата";"31.17";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba72";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vatnye-shariki-belye-sterilnye-100-sht.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vatnye-shariki-belye-sterilnye-100-sht..html";"";"";"length:0;width:0;height:0";"Simtech"
"Ватные валики для стоматологии н/с(200 шт) ";"Медицинские расходные материалы///Вата";"45.25";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba73";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vatnye-valiki-dlya-stomatologii-n-s-200-sht";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vatnye-valiki-dlya-stomatologii-n-s-200-sht.html";"";"";"length:0;width:0;height:0";"Simtech"
"Ватные валики для стоматологии СТЕРИЛЬНЫЕ (20 шт)";"Медицинские расходные материалы///Вата";"11.62";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba74";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vatnye-valiki-dlya-stomatologii-sterilnye-20-sht";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vatnye-valiki-dlya-stomatologii-sterilnye-20-sht.html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата медицинская ""Зиг-Заг"" 50,0 гр. ";"Медицинские расходные материалы///Вата";"11.21";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba75";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-medicinskaya-zig-zag-50-0-gr.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-medicinskaya-zig-zag-50-0-gr..html";"";"";"length:0;width:0;height:0";"Simtech"
"Вата медицинская ""Зиг-Заг"" 100 гр. ";"Медицинские расходные материалы///Вата";"21.39";"min:0;max:0";"";"1";"";"07 Apr 2014 00:00:00";"A";"ru";"proba76";"0.00";"0";"0.00";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"vata-medicinskaya-zig-zag-100-gr.";"";"";"0";"0";"0";"";"http://medinweb.ru/medicinskie-rashodnye-materialy/vata/vata-medicinskaya-zig-zag-100-gr..html";"";"";"length:0;width:0;height:0";"Simtech"
